	CHNL_k1519-2024	ENERGY_k1519-2024	COUNTS_k1519-2024
507	507	667.786969	15966
508	508	669.078044	16043
509	509	670.369119	15884
510	510	671.660194	15363
511	511	672.951270	15567
512	512	674.242345	15529
513	513	675.533420	15275
514	514	676.824495	15389
515	515	678.115570	15201
516	516	679.406646	15106
517	517	680.697721	14853
518	518	681.988796	14873
519	519	683.279871	14935
520	520	684.570947	14988
521	521	685.862022	14980
522	522	687.153097	14976
523	523	688.444172	15227
524	524	689.735248	15137
525	525	691.026323	15412
526	526	692.317398	15497
527	527	693.608473	15798
528	528	694.899548	15966
529	529	696.190624	16769
530	530	697.481699	17204
531	531	698.772774	17841
532	532	700.063849	18640
533	533	701.354925	19259
534	534	702.646000	19924
535	535	703.937075	20877
536	536	705.228150	21754
537	537	706.519226	22693
538	538	707.810301	23651
539	539	709.101376	24878
540	540	710.392451	25784
541	541	711.683526	26573
542	542	712.974602	27557
543	543	714.265677	28290
544	544	715.556752	28644
545	545	716.847827	29006
546	546	718.138903	29243
547	547	719.429978	29833
548	548	720.721053	29748
549	549	722.012128	29629
550	550	723.303204	29032
551	551	724.594279	28690
552	552	725.885354	27737
553	553	727.176429	27008
554	554	728.467504	26682
555	555	729.758580	25651
556	556	731.049655	24767
557	557	732.340730	24142
558	558	733.631805	23345
559	559	734.922881	22685
560	560	736.213956	22275
561	561	737.505031	21550
562	562	738.796106	20566
563	563	740.087181	20362
564	564	741.378257	19748
565	565	742.669332	19511
566	566	743.960407	18930
567	567	745.251482	18699
568	568	746.542558	18669
569	569	747.833633	17990
570	570	749.124708	17985
571	571	750.415783	18035
572	572	751.706859	17937
573	573	752.997934	17744
574	574	754.289009	17526
575	575	755.580084	17453
576	576	756.871159	17157
577	577	758.162235	17123
578	578	759.453310	17012
579	579	760.744385	16923
580	580	762.035460	16718
581	581	763.326536	16696
582	582	764.617611	16153
583	583	765.908686	16351
584	584	767.199761	16226
585	585	768.490837	15908
586	586	769.781912	15840
587	587	771.072987	15669
588	588	772.364062	15626
589	589	773.655137	15774
590	590	774.946213	15588
591	591	776.237288	15557
592	592	777.528363	15560
593	593	778.819438	15362
594	594	780.110514	15402
595	595	781.401589	15403
596	596	782.692664	15292
597	597	783.983739	15283
598	598	785.274815	15398
599	599	786.565890	15190
600	600	787.856965	14978
601	601	789.148040	14862
602	602	790.439115	14738
603	603	791.730191	14425
604	604	793.021266	14371
605	605	794.312341	14374
606	606	795.603416	13937
607	607	796.894492	13907
608	608	798.185567	13788
609	609	799.476642	13558
610	610	800.767717	13538
611	611	802.058793	13369
612	612	803.349868	13259
613	613	804.640943	13257
614	614	805.932018	13098
615	615	807.223093	12825
616	616	808.514169	12996
617	617	809.805244	13036
618	618	811.096319	12906
619	619	812.387394	12919
620	620	813.678470	12982
621	621	814.969545	12866
622	622	816.260620	12780
623	623	817.551695	12676
624	624	818.842771	12706
625	625	820.133846	12709
626	626	821.424921	12620
627	627	822.715996	12885
628	628	824.007071	12799
629	629	825.298147	12747
630	630	826.589222	12883
631	631	827.880297	12968
632	632	829.171372	12734
633	633	830.462448	12776
634	634	831.753523	13040
635	635	833.044598	12895
636	636	834.335673	12813
637	637	835.626749	13010
638	638	836.917824	12971
639	639	838.208899	12776
640	640	839.499974	12935
641	641	840.791049	12724
642	642	842.082125	12833
643	643	843.373200	12926
644	644	844.664275	13266
645	645	845.955350	13240
646	646	847.246426	13670
647	647	848.537501	13617
648	648	849.828576	13733
649	649	851.119651	13874
650	650	852.410727	14071
651	651	853.701802	14280
652	652	854.992877	14461
653	653	856.283952	14901
654	654	857.575027	15135
655	655	858.866103	15701
656	656	860.157178	15847
657	657	861.448253	16225
658	658	862.739328	16564
659	659	864.030404	16838
660	660	865.321479	17072
661	661	866.612554	17293
662	662	867.903629	17476
663	663	869.194704	17741
664	664	870.485780	17979
665	665	871.776855	18040
666	666	873.067930	17973
667	667	874.359005	17849
668	668	875.650081	17835
669	669	876.941156	17455
670	670	878.232231	17342
671	671	879.523306	16854
672	672	880.814382	16631
673	673	882.105457	16435
674	674	883.396532	15765
675	675	884.687607	15227
676	676	885.978682	14950
677	677	887.269758	14479
678	678	888.560833	14129
679	679	889.851908	13766
680	680	891.142983	13483
681	681	892.434059	12890
682	682	893.725134	12561
683	683	895.016209	12238
684	684	896.307284	12103
685	685	897.598360	11833
686	686	898.889435	11568
687	687	900.180510	11300
688	688	901.471585	11036
689	689	902.762660	10962
690	690	904.053736	11027
691	691	905.344811	10686
692	692	906.635886	10626
693	693	907.926961	10508
694	694	909.218037	10331
695	695	910.509112	10484
696	696	911.800187	10227
697	697	913.091262	10365
698	698	914.382338	10146
699	699	915.673413	10235
700	700	916.964488	9981
701	701	918.255563	10251
702	702	919.546638	9764
703	703	920.837714	9801
704	704	922.128789	9727
705	705	923.419864	9592
706	706	924.710939	9682
707	707	926.002015	9678
708	708	927.293090	9605
709	709	928.584165	9603
710	710	929.875240	9409
711	711	931.166316	9642
712	712	932.457391	9528
713	713	933.748466	9623
714	714	935.039541	9405
715	715	936.330616	9545
716	716	937.621692	9276
717	717	938.912767	9610
718	718	940.203842	9471
719	719	941.494917	9158
720	720	942.785993	9413
721	721	944.077068	9352
722	722	945.368143	9277
723	723	946.659218	9484
724	724	947.950294	9304
725	725	949.241369	9403
726	726	950.532444	9317
727	727	951.823519	9276
728	728	953.114594	9340
729	729	954.405670	9226
730	730	955.696745	9266
731	731	956.987820	9342
732	732	958.278895	9219
733	733	959.569971	9275
734	734	960.861046	9231
735	735	962.152121	9360
736	736	963.443196	9164
737	737	964.734272	9119
738	738	966.025347	9221
739	739	967.316422	9174
740	740	968.607497	9247
741	741	969.898572	9155
742	742	971.189648	9471
743	743	972.480723	9214
744	744	973.771798	9168
745	745	975.062873	9263
746	746	976.353949	9410
747	747	977.645024	9115
748	748	978.936099	9358
749	749	980.227174	9392
750	750	981.518250	9383
751	751	982.809325	9453
752	752	984.100400	9389
753	753	985.391475	9476
754	754	986.682550	9405
755	755	987.973626	9486
756	756	989.264701	9385
757	757	990.555776	9373
758	758	991.846851	9336
759	759	993.137927	9420
760	760	994.429002	9428
761	761	995.720077	9443
762	762	997.011152	9424
763	763	998.302227	9358
764	764	999.593303	9428
765	765	1000.88438	9365
766	766	1002.17545	9489
767	767	1003.46653	9608
768	768	1004.75760	9566
769	769	1006.04868	9671
770	770	1007.33975	9950
771	771	1008.63083	9773
772	772	1009.92191	10162
773	773	1011.21298	10252
774	774	1012.50406	10592
775	775	1013.79513	10701
776	776	1015.08621	11040
777	777	1016.37728	11273
778	778	1017.66836	11924
779	779	1018.95943	12690
780	780	1020.25051	13296
781	781	1021.54158	13986
782	782	1022.83266	14974
783	783	1024.12374	16038
784	784	1025.41481	17000
785	785	1026.70589	18290
786	786	1027.99696	19509
787	787	1029.28804	20774
788	788	1030.57911	22281
789	789	1031.87019	23817
790	790	1033.16126	25029
791	791	1034.45234	26602
792	792	1035.74341	27655
793	793	1037.03449	29533
794	794	1038.32556	30906
795	795	1039.61664	32352
796	796	1040.90771	33530
797	797	1042.19879	34493
798	798	1043.48986	35085
799	799	1044.78094	36013
800	800	1046.07201	36150
801	801	1047.36309	36218
802	802	1048.65416	36267
803	803	1049.94524	36160
804	804	1051.23631	35559
805	805	1052.52739	34933
806	806	1053.81847	33764
807	807	1055.10954	32851
808	808	1056.40062	31542
809	809	1057.69169	30507
810	810	1058.98277	29095
811	811	1060.27384	27596
812	812	1061.56492	26606
813	813	1062.85599	24732
814	814	1064.14707	23253
815	815	1065.43814	22232
816	816	1066.72922	20879
817	817	1068.02029	19917
818	818	1069.31137	18940
819	819	1070.60244	17481
820	820	1071.89352	16719
821	821	1073.18459	15815
822	822	1074.47567	15134
823	823	1075.76674	14364
824	824	1077.05782	13819
825	825	1078.34889	13613
826	826	1079.63997	12915
827	827	1080.93105	12541
828	828	1082.22212	11993
829	829	1083.51320	11769
830	830	1084.80427	11670
831	831	1086.09535	11372
832	832	1087.38642	10756
833	833	1088.67750	10582
834	834	1089.96857	10515
835	835	1091.25965	10033
836	836	1092.55072	9935
837	837	1093.84180	9668
838	838	1095.13287	9527
839	839	1096.42395	9256
840	840	1097.71502	9161
841	841	1099.00610	8927
842	842	1100.29717	8819
843	843	1101.58825	8852
844	844	1102.87932	8359
845	845	1104.17040	8353
846	846	1105.46147	8255
847	847	1106.75255	8155
848	848	1108.04363	8096
849	849	1109.33470	8187
850	850	1110.62578	8130
851	851	1111.91685	8050
852	852	1113.20793	7931
853	853	1114.49900	8053
854	854	1115.79008	8150
855	855	1117.08115	8033
856	856	1118.37223	8088
857	857	1119.66330	8249
858	858	1120.95438	8285
859	859	1122.24545	8281
860	860	1123.53653	8560
861	861	1124.82760	8472
862	862	1126.11868	8678
863	863	1127.40975	8852
864	864	1128.70083	9229
865	865	1129.99190	9298
866	866	1131.28298	9658
867	867	1132.57405	9708
868	868	1133.86513	9938
869	869	1135.15620	10259
870	870	1136.44728	10753
871	871	1137.73836	11211
872	872	1139.02943	11664
873	873	1140.32051	11804
874	874	1141.61158	12384
875	875	1142.90266	12983
876	876	1144.19373	13117
877	877	1145.48481	13856
878	878	1146.77588	14256
879	879	1148.06696	14443
880	880	1149.35803	14948
881	881	1150.64911	15467
882	882	1151.94018	15647
883	883	1153.23126	15914
884	884	1154.52233	16164
885	885	1155.81341	16221
886	886	1157.10448	16559
887	887	1158.39556	16111
888	888	1159.68663	16188
889	889	1160.97771	16277
890	890	1162.26878	16108
891	891	1163.55986	16089
892	892	1164.85094	15729
893	893	1166.14201	15281
894	894	1167.43309	15079
895	895	1168.72416	14879
896	896	1170.01524	14243
897	897	1171.30631	13920
898	898	1172.59739	13370
899	899	1173.88846	13117
900	900	1175.17954	12664
901	901	1176.47061	12290
902	902	1177.76169	11939
903	903	1179.05276	11502
904	904	1180.34384	11220
905	905	1181.63491	10964
906	906	1182.92599	10640
907	907	1184.21706	10481
908	908	1185.50814	10247
909	909	1186.79921	10090
910	910	1188.09029	9878
911	911	1189.38136	9786
912	912	1190.67244	9692
913	913	1191.96351	9663
914	914	1193.25459	9422
915	915	1194.54567	9332
916	916	1195.83674	9258
917	917	1197.12782	9151
918	918	1198.41889	9014
919	919	1199.70997	8851
920	920	1201.00104	8864
921	921	1202.29212	8746
922	922	1203.58319	8730
923	923	1204.87427	8496
924	924	1206.16534	8474
925	925	1207.45642	8136
926	926	1208.74749	8161
927	927	1210.03857	8027
928	928	1211.32964	7880
929	929	1212.62072	7678
930	930	1213.91179	7504
931	931	1215.20287	7505
932	932	1216.49394	7520
933	933	1217.78502	7271
934	934	1219.07609	7049
935	935	1220.36717	7105
936	936	1221.65825	6908
937	937	1222.94932	6767
938	938	1224.24040	6920
939	939	1225.53147	6792
940	940	1226.82255	6807
941	941	1228.11362	6610
942	942	1229.40470	6669
943	943	1230.69577	6583
944	944	1231.98685	6493
945	945	1233.27792	6524
946	946	1234.56900	6666
947	947	1235.86007	6538
948	948	1237.15115	6421
949	949	1238.44222	6408
950	950	1239.73330	6563
951	951	1241.02437	6588
952	952	1242.31545	6438
953	953	1243.60652	6473
954	954	1244.89760	6528
955	955	1246.18867	6449
956	956	1247.47975	6640
957	957	1248.77083	6522
958	958	1250.06190	6688
959	959	1251.35298	6680
960	960	1252.64405	6815
961	961	1253.93513	6891
962	962	1255.22620	7122
963	963	1256.51728	7019
964	964	1257.80835	7056
965	965	1259.09943	7417
966	966	1260.39050	7565
967	967	1261.68158	7844
968	968	1262.97265	7887
969	969	1264.26373	8339
970	970	1265.55480	8578
971	971	1266.84588	8780
972	972	1268.13695	8882
973	973	1269.42803	9334
974	974	1270.71910	9827
975	975	1272.01018	10186
976	976	1273.30125	10659
977	977	1274.59233	10781
978	978	1275.88340	11290
979	979	1277.17448	11709
980	980	1278.46556	12136
981	981	1279.75663	12541
982	982	1281.04771	12902
983	983	1282.33878	13184
984	984	1283.62986	13512
985	985	1284.92093	13973
986	986	1286.21201	14347
987	987	1287.50308	14374
988	988	1288.79416	14781
989	989	1290.08523	14756
990	990	1291.37631	14962
991	991	1292.66738	14896
992	992	1293.95846	14987
993	993	1295.24953	15092
994	994	1296.54061	15381
995	995	1297.83168	15247
996	996	1299.12276	15312
997	997	1300.41383	15301
998	998	1301.70491	15045
999	999	1302.99598	15159
1000	1000	1304.28706	14749
1001	1001	1305.57814	14560
1002	1002	1306.86921	14410
1003	1003	1308.16029	14255
1004	1004	1309.45136	14162
1005	1005	1310.74244	13698
1006	1006	1312.03351	13661
1007	1007	1313.32459	13117
1008	1008	1314.61566	13111
1009	1009	1315.90674	12944
1010	1010	1317.19781	12737
1011	1011	1318.48889	12250
1012	1012	1319.77996	12024
1013	1013	1321.07104	11597
1014	1014	1322.36211	11721
1015	1015	1323.65319	11090
1016	1016	1324.94426	10699
1017	1017	1326.23534	10515
1018	1018	1327.52641	10305
1019	1019	1328.81749	9830
1020	1020	1330.10856	9592
1021	1021	1331.39964	9549
1022	1022	1332.69072	9044
1023	1023	1333.98179	8727
1024	1024	1335.27287	8539
1025	1025	1336.56394	8220
1026	1026	1337.85502	8160
1027	1027	1339.14609	7720
1028	1028	1340.43717	7557
1029	1029	1341.72824	7362
1030	1030	1343.01932	7225
1031	1031	1344.31039	7065
1032	1032	1345.60147	6738
1033	1033	1346.89254	6741
1034	1034	1348.18362	6581
1035	1035	1349.47469	6509
1036	1036	1350.76577	6486
1037	1037	1352.05684	6253
1038	1038	1353.34792	6487
1039	1039	1354.63899	6338
1040	1040	1355.93007	6144
1041	1041	1357.22114	6105
1042	1042	1358.51222	6148
1043	1043	1359.80329	5980
1044	1044	1361.09437	6133
1045	1045	1362.38545	6154
1046	1046	1363.67652	6195
1047	1047	1364.96760	6025
1048	1048	1366.25867	6135
1049	1049	1367.54975	6036
1050	1050	1368.84082	6192
1051	1051	1370.13190	6263
1052	1052	1371.42297	6211
1053	1053	1372.71405	6102
1054	1054	1374.00512	6126
1055	1055	1375.29620	6227
1056	1056	1376.58727	6166
1057	1057	1377.87835	6283
1058	1058	1379.16942	6252
1059	1059	1380.46050	6277
1060	1060	1381.75157	6479
1061	1061	1383.04265	6514
1062	1062	1384.33372	6523
1063	1063	1385.62480	6728
1064	1064	1386.91587	6562
1065	1065	1388.20695	6918
1066	1066	1389.49803	6728
1067	1067	1390.78910	6920
1068	1068	1392.08018	7130
1069	1069	1393.37125	7338
1070	1070	1394.66233	7272
1071	1071	1395.95340	7403
1072	1072	1397.24448	7721
1073	1073	1398.53555	7651
1074	1074	1399.82663	7920
1075	1075	1401.11770	7946
1076	1076	1402.40878	8266
1077	1077	1403.69985	8050
1078	1078	1404.99093	8150
1079	1079	1406.28200	8381
1080	1080	1407.57308	8315
1081	1081	1408.86415	8253
1082	1082	1410.15523	8508
1083	1083	1411.44630	8668
1084	1084	1412.73738	8539
1085	1085	1414.02845	8435
1086	1086	1415.31953	8509
1087	1087	1416.61061	8663
1088	1088	1417.90168	8640
1089	1089	1419.19276	8388
1090	1090	1420.48383	8455
1091	1091	1421.77491	8272
1092	1092	1423.06598	8293
1093	1093	1424.35706	8130
1094	1094	1425.64813	7956
1095	1095	1426.93921	7951
1096	1096	1428.23028	7733
1097	1097	1429.52136	7710
1098	1098	1430.81243	7749
1099	1099	1432.10351	7510
1100	1100	1433.39458	7229
1101	1101	1434.68566	7265
1102	1102	1435.97673	7060
